user,mean,sd
1,1,0
2,0.727272727272727,0.448282207765424
3,0.636363636363636,0.488504210459197
4,0.555555555555556,0.52704627669473
5,0.729166666666667,0.449092860289629
6,0.785714285714286,0.417855447018672
7,0.333333333333333,0.485071250072666
